,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7644,0.497,0.769,10,-4.575,0,0.026,0.419,0.882,0.15,0.6,136.053,audio_features,5kw9ypwYkJ7ahGVnlMoZuo,spotify:track:5kw9ypwYkJ7ahGVnlMoZuo,https://api.spotify.com/v1/tracks/5kw9ypwYkJ7ahGVnlMoZuo,https://api.spotify.com/v1/audio-analysis/5kw9ypwYkJ7ahGVnlMoZuo,214067,4
7645,0.636,0.874,6,-4.992,0,0.0362,0.159,0.000828,0.0627,0.889,93.071,audio_features,16WX2dvkM6VHsZOKYPJ5vV,spotify:track:16WX2dvkM6VHsZOKYPJ5vV,https://api.spotify.com/v1/tracks/16WX2dvkM6VHsZOKYPJ5vV,https://api.spotify.com/v1/audio-analysis/16WX2dvkM6VHsZOKYPJ5vV,214893,4
7646,0.521,0.66,1,-5.267,1,0.0245,0.727,0.00283,0.273,0.232,79.294,audio_features,3B6UjimQniAV8N443a7KKr,spotify:track:3B6UjimQniAV8N443a7KKr,https://api.spotify.com/v1/tracks/3B6UjimQniAV8N443a7KKr,https://api.spotify.com/v1/audio-analysis/3B6UjimQniAV8N443a7KKr,249640,4
7647,0.758,0.586,3,-5.989,0,0.0406,0.281,0.226,0.0484,0.739,89.061,audio_features,07cYlEHow8JtrUgXMPQjCk,spotify:track:07cYlEHow8JtrUgXMPQjCk,https://api.spotify.com/v1/tracks/07cYlEHow8JtrUgXMPQjCk,https://api.spotify.com/v1/audio-analysis/07cYlEHow8JtrUgXMPQjCk,215000,4
7648,0.554,0.838,9,-4.553,1,0.0553,0.0436,0.0,0.108,0.635,120.045,audio_features,1gxPYmgSyP1C1pIUsR4KCK,spotify:track:1gxPYmgSyP1C1pIUsR4KCK,https://api.spotify.com/v1/tracks/1gxPYmgSyP1C1pIUsR4KCK,https://api.spotify.com/v1/audio-analysis/1gxPYmgSyP1C1pIUsR4KCK,224787,4
7649,0.371,0.783,2,-4.278,1,0.0329,0.0055,0.0,0.821,0.338,144.962,audio_features,7LM1xrVXvkSLOREbFsUu0z,spotify:track:7LM1xrVXvkSLOREbFsUu0z,https://api.spotify.com/v1/tracks/7LM1xrVXvkSLOREbFsUu0z,https://api.spotify.com/v1/audio-analysis/7LM1xrVXvkSLOREbFsUu0z,297440,3
7650,0.423,0.46,0,-7.587,1,0.0454,0.433,0.0,0.0701,0.266,125.106,audio_features,4NpGJZC2cL5RYbzFfbcEVE,spotify:track:4NpGJZC2cL5RYbzFfbcEVE,https://api.spotify.com/v1/tracks/4NpGJZC2cL5RYbzFfbcEVE,https://api.spotify.com/v1/audio-analysis/4NpGJZC2cL5RYbzFfbcEVE,229600,4
7651,0.463,0.755,4,-7.244,1,0.0634,0.11,4.89e-06,0.103,0.252,145.319,audio_features,5u0YB9bpmgEPS2bPhwfRFV,spotify:track:5u0YB9bpmgEPS2bPhwfRFV,https://api.spotify.com/v1/tracks/5u0YB9bpmgEPS2bPhwfRFV,https://api.spotify.com/v1/audio-analysis/5u0YB9bpmgEPS2bPhwfRFV,261213,4
7652,0.445,0.797,7,-5.578,1,0.0629,0.00324,3.97e-05,0.262,0.589,164.385,audio_features,2OjHf8ZzA6OaARARpQabjN,spotify:track:2OjHf8ZzA6OaARARpQabjN,https://api.spotify.com/v1/tracks/2OjHf8ZzA6OaARARpQabjN,https://api.spotify.com/v1/audio-analysis/2OjHf8ZzA6OaARARpQabjN,185267,4
7653,0.4,0.445,2,-7.546,1,0.0323,0.416,9.03e-06,0.0938,0.108,150.15,audio_features,5WDlNHQW1LmcQIA15oGjiW,spotify:track:5WDlNHQW1LmcQIA15oGjiW,https://api.spotify.com/v1/tracks/5WDlNHQW1LmcQIA15oGjiW,https://api.spotify.com/v1/audio-analysis/5WDlNHQW1LmcQIA15oGjiW,236067,4
