song,uri,artist,cluster
Nickels And Dimes,spotify:track:23wBGl23Ivl3OhB8DvhPvi,JAY-Z,41
I Can't Stay the Same,spotify:track:5Pby79ws40BL2qVxppt9zt,Vanessa Carlton,14
Companion Star,spotify:track:0PzifHe9sON2sSCgN7GaTa,Vanessa Carlton,100
I Know You Don't Mean It,spotify:track:7xN6vfXS2av1C6Hu1Ndour,Vanessa Carlton,163
"Die, Dinosaur",spotify:track:21B6Rwnu56bqd7YMlQYKk5,Vanessa Carlton,158
Love is an Art,spotify:track:76FB9GCriqqcDDddyRbO0n,Vanessa Carlton,100
Future Pain,spotify:track:6n28JqXQ1ZPo5LuZ1KOx61,Vanessa Carlton,12
Back to Life,spotify:track:1S4kO2H8UeOr53BM4xlOA1,Vanessa Carlton,297
Patience,spotify:track:2N7Nx2tjIwwyVDgxtpEqZ2,Vanessa Carlton,379
The Only Way to Love,spotify:track:3cRebmeYxU5Dh0bWT1Luvw,Vanessa Carlton,183
Salesman,spotify:track:3YUKECcCurfcp4RT9eLaLA,Vanessa Carlton,224
Miner's Canary,spotify:track:7Jk10R45oSAoBj0x9PGT4g,Vanessa Carlton,163
Die Dinosaur,spotify:track:7rfy81g2ucaOMcD5Rru0Dr,Vanessa Carlton,158
Love Is an Art,spotify:track:5gAcMuhFT7WXOoS76QFsY3,Vanessa Carlton,100
"Kiss My (Uh Oh) [Girl Power Remix] - feat. Becky Hill, RAYE & Stefflon Don",spotify:track:43jIumw83QZSoPvdC8yBKs,Anne-Marie,45
Kiss My (Uh Oh),spotify:track:64ibgVj4DWgEjZ8Qyrxvxs,Anne-Marie,10
Intro - Live From Spotify NYC,spotify:track:5QfBuE8VSeZHRnQta8BsqO,Macklemore & Ryan Lewis,15
Same Love - Live From Spotify NYC feat. Mary Lambert,spotify:track:6rLNXRpMGdmlx6GoqzfxW0,Macklemore & Ryan Lewis,340
Interview - Live From Spotify NYC,spotify:track:4AKZcuoEzm4vhWpKiwo8zU,Macklemore & Ryan Lewis,37
Thrift Shop - Live From Spotify NYC feat. Wanz,spotify:track:3wMtW7OyslemHe5Ft5sNyA,Macklemore & Ryan Lewis,0
Starting Over - Live From Spotify NYC,spotify:track:12FMNnfiiAa5EDug8U9kpD,Macklemore & Ryan Lewis,394
Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,spotify:track:4FQDZwcvvXpqpPMquZ6qTV,Macklemore & Ryan Lewis,338
da primeira vez (from the first time),spotify:track:63qOBLF8403qXWcfi4sAQx,Bryan Behr,162
Is That It?,spotify:track:0ckumbydCTVz1XBj3yLLgm,Katrina & The Waves,420
Tears For Me,spotify:track:5eF1DjXekEdfGsPHaGX1mk,Katrina & The Waves,505
Sun Street,spotify:track:1EEzkauJaCiBjvfDBErYi3,Katrina & The Waves,505
Lovely Lindsey,spotify:track:0tSEuVM9afBUEESDIKJZNA,Katrina & The Waves,148
Riding Shotgun,spotify:track:3JFEEI6xTdi7sAAPjjHMvl,Katrina & The Waves,261
Sleep On My Pillow,spotify:track:064sEQnuwcTe0rfnwPJU91,Katrina & The Waves,455
Money Chain,spotify:track:5YN8epJXJuNYWn8KFHkIGu,Katrina & The Waves,156
Mr. Star,spotify:track:1frEzaW7mpviVYmbuEXOlM,Katrina & The Waves,258
Love That Boy,spotify:track:59MEHOZOu6JUbTl15FAyty,Katrina & The Waves,485
Stop Trying To Prove (How Much Of A Man You Is),spotify:track:4KWLCP5WorDjxDG4s9GtBj,Katrina & The Waves,219
We All Want The Same Thing,spotify:track:3HbG9aYup2FojZxxXHPlMg,Rixton,107
We All Want The Same Thing - Moto Blanco Club Mix,spotify:track:796XpULv0vnQZLnV8uw1bh,Rixton,306
We All Want The Same Thing - Moto Blanco Radio Edit,spotify:track:1VhlhrSlvdPzaPPT75r2At,Rixton,45
x2,spotify:track:0k79twDYBMpqqjVLuEnYkh,Anne-Marie,157
Don't Play,spotify:track:2j7WMNAPSknc94Id7Ciuas,Anne-Marie,442
Who I Am,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,Anne-Marie,139
Our Song,spotify:track:3fGW43fnu3OHEw6ohTC2Bw,Anne-Marie,405
Way Too Long,spotify:track:7fstlS6QMUp3rHA4Ne0C2k,Nathan Dawe,500
Breathing,spotify:track:4bhe0XXBRo4EAPKgy4M2xz,Anne-Marie,451
Unlovable (feat. Rudimental),spotify:track:3zmxLLhTpgdLTAPPVbVRqe,Anne-Marie,475
Beautiful,spotify:track:3RjL8AnKslWWPmlNLTJsAU,Anne-Marie,182
Tell Your Girlfriend,spotify:track:0Kryggxs2gZqnkujFYEH1D,Anne-Marie,201
Better Not Together,spotify:track:1jAma2op1mdGxvqxkBK5So,Anne-Marie,381
Therapy,spotify:track:1RkgmvNX2D77vyG6Y9N3jv,Anne-Marie,315
Uptown's First Finale (feat. Stevie Wonder & Andrew Wyatt),spotify:track:41RffU6OSMWONC8uTjyude,Mark Ronson,133
Summer Breaking (feat. Kevin Parker),spotify:track:3hoh1AoKwuC3VZ8CYj6YA9,Mark Ronson,35
Feel Right (feat. Mystikal),spotify:track:2ENBaEOC0Jgi2au9Jt7y7d,Mark Ronson,412
Uptown Funk (feat. Bruno Mars),spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,445
I Can't Lose (feat. Keyone Starr),spotify:track:2VNSUMHI1R3B6wVV8P7ZlG,Mark Ronson,107
Daffodils (feat. Kevin Parker),spotify:track:1v0ufp7FLTFcykUGOmFZKa,Mark Ronson,84
Crack In the Pearl (feat. Andrew Wyatt),spotify:track:523MOh0wR5AN3YUMADvPtz,Mark Ronson,248
In Case of Fire (feat. Jeff Bhasker),spotify:track:2OTdfTzu0VAmnykkQDrFZr,Mark Ronson,420
Leaving Los Feliz (feat. Kevin Parker),spotify:track:5lc74vqFs7tNGxE4mOfrbr,Mark Ronson,238
Heavy and Rolling (feat. Andrew Wyatt),spotify:track:5LdjK8Fvd454DgkIoJR7C9,Mark Ronson,420
"Crack In the Pearl, Pt. II (feat. Stevie Wonder & Jeff Bhasker)",spotify:track:3LvmU7SNQIakTe4lxiNNvR,Mark Ronson,288
成长 (Older),spotify:track:59ZEgmLmXD7e7UZwlI78fP,Alec Benjamin,295
Water Fountain,spotify:track:1dTTqshrxWQSFMzmEuPWu0,Alec Benjamin,82
Older,spotify:track:4r6lnU74031FEZU6vxKgCn,Alec Benjamin,295
The Way You Felt,spotify:track:3nXPu7UhE7R9hvWeLA15t6,Alec Benjamin,347
Wake Me Up - Avicii By Avicii,spotify:track:3bMsT2EiXYKSUjc9uvIkI3,Avicii,36
You Make Me - Avicii By Avicii,spotify:track:1pGnyWdri6sC7lHmYdX1TH,Avicii,435
Hey Brother - Avicii By Avicii,spotify:track:3h5vVpJ7RlYVWtOG0403bL,Avicii,356
Addicted To You - Avicii By Avicii,spotify:track:3XfGM99TOeyPsnDtgTqtkT,Avicii,157
Dear Boy - Avicii By Avicii,spotify:track:3V368AqKw3yoyEBwXWXW8s,Avicii,494
Liar Liar - Avicii By Avicii,spotify:track:3HKV2TCxpAAlHQphu4cJD0,Avicii,303
Shame On Me - Avicii By Avicii,spotify:track:3FHVgWirraiztByoWz0pD7,Avicii,41
Lay Me Down - Avicii By Avicii,spotify:track:7wP8uxXoB9OctkMwmD52md,Avicii,54
Hope There's Someone - Avicii By Avicii,spotify:track:1jJudDuP9BhE6fQrdiLTQY,Avicii,356
Alone Together,spotify:track:3ZsLuJ8uU0lE6rGTkDaqEg,Dan + Shay,448
Tequila,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,252
What Keeps You Up At Night,spotify:track:3rHrG1sHYd7h2yWKnxRk56,Dan + Shay,162
All To Myself,spotify:track:08tq1XcHwVt5PHXUo87i0D,Dan + Shay,139
Keeping Score (feat. Kelly Clarkson),spotify:track:57KKY8gqUqqS3YXYotkxS5,Dan + Shay,2
Make or Break,spotify:track:5dUTuyeg1GpSAJSUY14X3O,Dan + Shay,239
