web-scraper-order;web-scraper-start-url;link;link-href
1639224679-403;"https://www.coursera.org/search?query=free&page=21&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"International Business IUniversity of New MexicoCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 1642 reviews4.7(1,642)44k studentsMixed LevelMixed""";https://www.coursera.org/learn/international-business
1639224660-336;"https://www.coursera.org/search?query=free&page=28&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Business Models for Innovative Care for Older PeopleUniversity of CopenhagenCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.5 out of five stars. 192 reviews4.5(192)7.8k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/business-models-innovative-care
1639224578-55;"https://www.coursera.org/search?query=free&page=56&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and OperatorsKoç UniversityCourseFilled StarFilled StarFilled StarFilled StarStarRated 4 out of five stars. 37 reviews4(37)4.6k studentsMixed LevelMixed""";https://www.coursera.org/learn/linearalgebra1
1639224728-571;"https://www.coursera.org/search?query=free&page=4&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"An Introduction to Consumer Neuroscience & NeuromarketingCopenhagen Business SchoolCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 2483 reviews4.7(2,483)120k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/neuromarketing
1639224607-154;"https://www.coursera.org/search?query=free&page=46&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"مقدمة عن البيانات الضخمةUniversity of California San DiegoCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 88 reviews4.6(88)2.6k studentsMixed LevelMixed""";https://www.coursera.org/learn/big-data-introduction-ar
1639224630-230;"https://www.coursera.org/search?query=free&page=38&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Analíticas y Métricas de MarketingTecnológico de MonterreyCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 42 reviews4.7(42)4k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/analticas-y-mtricas-de-marketing
1639224604-143;"https://www.coursera.org/search?query=free&page=47&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Analyse numérique pour ingénieursÉcole Polytechnique Fédérale de LausanneCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.5 out of five stars. 102 reviews4.5(102)15k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/analyse-numerique
1639224657-325;"https://www.coursera.org/search?query=free&page=29&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Introdução ao Gerenciamento de produtos de softwareUniversity of AlbertaCourseMixed LevelMixed""";https://www.coursera.org/learn/introduction-to-software-product-management-pt
1639224711-516;"https://www.coursera.org/search?query=free&page=10&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Renewable Energy and Green Building EntrepreneurshipDuke UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 2167 reviews4.7(2,167)58k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/renewable-energy-entrepreneurship
1639224735-597;"https://www.coursera.org/search?query=free&page=2&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Forensic Accounting and Fraud ExaminationWest Virginia UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 3999 reviews4.7(3,999)83k studentsMixed LevelMixed""";https://www.coursera.org/learn/forensic-accounting
1639224604-148;"https://www.coursera.org/search?query=free&page=47&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Giving 2.0: The MOOCStanford UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 156 reviews4.6(156)29k studentsMixed LevelMixed""";https://www.coursera.org/learn/philanthropist
1639224654-314;"https://www.coursera.org/search?query=free&page=30&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Geographical Information Systems - Part 1École Polytechnique Fédérale de LausanneCourseFilled StarFilled StarFilled StarHalf Filled StarStarRated 3.6 out of five stars. 52 reviews3.6(52)12k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/gis-1
1639224671-373;"https://www.coursera.org/search?query=free&page=24&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Securing Digital DemocracyUniversity of MichiganCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 148 reviews4.8(148)12k studentsMixed LevelMixed""";https://www.coursera.org/learn/digital-democracy
1639224596-111;"https://www.coursera.org/search?query=free&page=50&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"بدء المشاريع والتخطيط لهاUniversity of California, IrvineCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 5 out of five stars. 12 reviews5(12)Mixed LevelMixed""";https://www.coursera.org/learn/project-planning-ar
1639224633-240;"https://www.coursera.org/search?query=free&page=37&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Sports and Building AerodynamicsEindhoven University of TechnologyCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 236 reviews4.8(236)12k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/sports-building-aerodynamics
1639224621-204;"https://www.coursera.org/search?query=free&page=41&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Fundamentals of Management, with Goldman Sachs 10,000 WomenGoldman SachsCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 263 reviews4.7(263)15k studentsMixed LevelMixed""";https://www.coursera.org/learn/10k-women-8
1639224731-582;"https://www.coursera.org/search?query=free&page=3&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Wind EnergyTechnical University of Denmark (DTU)CourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 5913 reviews4.7(5,913)130k studentsMixed LevelMixed""";https://www.coursera.org/learn/wind-energy
1639224660-332;"https://www.coursera.org/search?query=free&page=28&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Introduction to solar cellsTechnical University of Denmark (DTU)CourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 2206 reviews4.8(2,206)52k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/solar-cells
1639224607-155;"https://www.coursera.org/search?query=free&page=46&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Inicio y planificación de proyectosUniversity of California, IrvineCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.9 out of five stars. 9 reviews4.9(9)Mixed LevelMixed""";https://www.coursera.org/learn/project-planning-es
1639224705-495;"https://www.coursera.org/search?query=free&page=12&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Social Impact Strategy: Tools for Entrepreneurs and InnovatorsUniversity of PennsylvaniaCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 1024 reviews4.8(1,024)35k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/social-impact
1639224590-96;"https://www.coursera.org/search?query=free&page=52&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Introduction to Satellite CommunicationsInstitut Mines-TélécomCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 768 reviews4.6(768)29k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/satellite-communications
1639224572-36;"https://www.coursera.org/search?query=free&page=58&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Fundamentos de las Operaciones con Goldman Sachs 10,000 WomenGoldman SachsCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 7 reviews4.7(7)Mixed LevelMixed""";https://www.coursera.org/learn/10k-women-esp-7
1639224627-229;"https://www.coursera.org/search?query=free&page=39&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 WomenGoldman SachsCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 429 reviews4.6(429)29k studentsMixed LevelMixed""";https://www.coursera.org/learn/10k-women-6
